↑↓	↑↓	↑↓
WCX	2×	0.1%
NDW	2×	0.1%
HJC	2×	0.1%
NJJ	2×	0.1%
JHW	2×	0.1%
XKL	2×	0.1%
YBX	2×	0.1%
XKW	2×	0.1%
LZH	2×	0.1%
JPG	2×	0.1%
AZE	2×	0.1%
XHJ	2×	0.1%
WRX	2×	0.1%
WJF	2×	0.1%
CXJ	2×	0.1%
JCK	2×	0.1%
BVH	2×	0.1%
YWX	2×	0.1%
LGW	2×	0.1%
NPN	2×	0.1%
FCF	2×	0.1%
AZF	2×	0.1%
GWK	2×	0.1%
XVF	2×	0.1%
WWH	2×	0.1%
FKY	2×	0.1%
YXB	2×	0.1%
AXE	2×	0.1%
VFP	2×	0.1%
NKL	2×	0.1%
VVW	2×	0.1%
WOK	2×	0.1%
PXC	2×	0.1%
KFC	2×	0.1%
KWG	2×	0.1%
WVN	2×	0.1%
ZFE	2×	0.1%
KNW	2×	0.1%
KUW	2×	0.1%
ZKX	2×	0.1%
CXC	2×	0.1%
YWU	2×	0.1%
HPZ	2×	0.1%
KJX	2×	0.1%
CZC	2×	0.1%
WVX	2×	0.1%
KJN	2×	0.1%
XKC	2×	0.1%
KQF	2×	0.1%
FAN	2×	0.1%
WEX	2×	0.1%
ASW	2×	0.1%
QWL	2×	0.1%
ECZ	2×	0.1%
RFV	2×	0.1%
WEF	2×	0.1%
NCZ	2×	0.1%
ZFJ	2×	0.1%
FEN	2×	0.1%
FJP	2×	0.1%
WKX	2×	0.1%
XNL	2×	0.1%
GKX	2×	0.1%
JCH	2×	0.1%
JYR	2×	0.1%
WFD	1×	0.05%
JCA	1×	0.05%
NEW	1×	0.05%
AFL	1×	0.05%
VWJ	1×	0.05%
ZAW	1×	0.05%
LWK	1×	0.05%
YXE	1×	0.05%
LCJ	1×	0.05%
VWR	1×	0.05%
CCK	1×	0.05%
FUF	1×	0.05%
FEE	1×	0.05%
AVX	1×	0.05%
WYW	1×	0.05%
CWJ	1×	0.05%
AWY	1×	0.05%
ROA	1×	0.05%
VWK	1×	0.05%
UNC	1×	0.05%
RNL	1×	0.05%
LWN	1×	0.05%
CWA	1×	0.05%
AZC	1×	0.05%
NLZ	1×	0.05%
ORJ	1×	0.05%
LHO	1×	0.05%
CNB	1×	0.05%
ORZ	1×	0.05%
XGW	1×	0.05%
VLF	1×	0.05%
VCK	1×	0.05%
LWV	1×	0.05%
EOW	1×	0.05%
XBE	1×	0.05%
YOH	1×	0.05%
BWJ	1×	0.05%
ZFC	1×	0.05%
XJE	1×	0.05%
UNK	1×	0.05%
NLK	1×	0.05%
NYQ	1×	0.05%
PWX	1×	0.05%
REH	1×	0.05%
EFO	1×	0.05%
XWI	1×	0.05%
YLW	1×	0.05%
NVY	1×	0.05%
ORE	1×	0.05%
FLL	1×	0.05%
YPF	1×	0.05%
VWV	1×	0.05%
HKF	1×	0.05%
EWA	1×	0.05%
YUF	1×	0.05%
SNV	1×	0.05%
XGL	1×	0.05%
LFA	1×	0.05%
CLN	1×	0.05%
WPK	1×	0.05%
KAK	1×	0.05%
HLC	1×	0.05%
SFJ	1×	0.05%
KFJ	1×	0.05%
APK	1×	0.05%
BWN	1×	0.05%
PXK	1×	0.05%
BVX	1×	0.05%
CZQ	1×	0.05%
UWN	1×	0.05%
YAN	1×	0.05%
WWF	1×	0.05%
KVN	1×	0.05%
ZNX	1×	0.05%
XBL	1×	0.05%
FYW	1×	0.05%
AFF	1×	0.05%
BJX	1×	0.05%
XEO	1×	0.05%
WYF	1×	0.05%
VHY	1×	0.05%
JFQ	1×	0.05%
APX	1×	0.05%
LLT	1×	0.05%
KEF	1×	0.05%
GWA	1×	0.05%
JJN	1×	0.05%
AJX	1×	0.05%
HAC	1×	0.05%
KWO	1×	0.05%
YEN	1×	0.05%
XOW	1×	0.05%
WVE	1×	0.05%
FAW	1×	0.05%
XHK	1×	0.05%
GXL	1×	0.05%
VWL	1×	0.05%
PHJ	1×	0.05%
HJL	1×	0.05%
ZFS	1×	0.05%
JYK	1×	0.05%
CZL	1×	0.05%
XWV	1×	0.05%
NLN	1×	0.05%
JCL	1×	0.05%
EFS	1×	0.05%
LOX	1×	0.05%
JUN	1×	0.05%
ZKN	1×	0.05%
XNJ	1×	0.05%
CCH	1×	0.05%
FZF	1×	0.05%
KXA	1×	0.05%
WBB	1×	0.05%
PWL	1×	0.05%
ONP	1×	0.05%
WWU	1×	0.05%
XBX	1×	0.05%
HKZ	1×	0.05%
WCR	1×	0.05%
NKU	1×	0.05%
AKW	1×	0.05%
ZXC	1×	0.05%
PFL	1×	0.05%
WLY	1×	0.05%
FAV	1×	0.05%
XLW	1×	0.05%
JBN	1×	0.05%
JLQ	1×	0.05%
LCV	1×	0.05%
RKW	1×	0.05%
JHE	1×	0.05%
OWK	1×	0.05%
KKW	1×	0.05%
LZN	1×	0.05%
CKN	1×	0.05%
CVR	1×	0.05%
KEW	1×	0.05%
YEF	1×	0.05%
LLF	1×	0.05%
HWJ	1×	0.05%
KWT	1×	0.05%
GQN	1×	0.05%
WQF	1×	0.05%
WRF	1×	0.05%
KWB	1×	0.05%
WAC	1×	0.05%
XBY	1×	0.05%
PCX	1×	0.05%
BFN	1×	0.05%
LFR	1×	0.05%
KNP	1×	0.05%
VXK	1×	0.05%
LWE	1×	0.05%
ZKF	1×	0.05%
EWO	1×	0.05%
KJF	1×	0.05%
HCN	1×	0.05%
CNL	1×	0.05%
LVW	1×	0.05%
NPW	1×	0.05%
JXH	1×	0.05%
JLK	1×	0.05%
YNF	1×	0.05%
EXK	1×	0.05%
WYN	1×	0.05%
WCW	1×	0.05%
JLF	1×	0.05%
RXK	1×	0.05%
LGN	1×	0.05%
CWX	1×	0.05%
BNC	1×	0.05%
NKS	1×	0.05%
VCW	1×	0.05%
FLA	1×	0.05%
AXV	1×	0.05%
WUN	1×	0.05%
COW	1×	0.05%
WSJ	1×	0.05%
FLN	1×	0.05%
WLA	1×	0.05%
JLY	1×	0.05%
XKR	1×	0.05%
WKE	1×	0.05%
EWJ	1×	0.05%
KNF	1×	0.05%
LNE	1×	0.05%
GVR	1×	0.05%
YNW	1×	0.05%
AZW	1×	0.05%
KLJ	1×	0.05%
UWF	1×	0.05%
JLZ	1×	0.05%
VHL	1×	0.05%
WNV	1×	0.05%
OWA	1×	0.05%
VHE	1×	0.05%
OHL	1×	0.05%
NLH	1×	0.05%
LUF	1×	0.05%
JRA	1×	0.05%
YNA	1×	0.05%
ENJ	1×	0.05%
LCW	1×	0.05%
KFY	1×	0.05%
XJF	1×	0.05%
CXV	1×	0.05%
LAX	1×	0.05%
BEF	1×	0.05%
JPX	1×	0.05%
NJE	1×	0.05%
XLC	1×	0.05%
CLX	1×	0.05%
VEF	1×	0.05%
JJW	1×	0.05%
VFN	1×	0.05%
LEX	1×	0.05%
FLR	1×	0.05%
CXW	1×	0.05%
ICN	1×	0.05%
FSW	1×	0.05%
FAS	1×	0.05%
KXB	1×	0.05%
PFC	1×	0.05%
ZCZ	1×	0.05%
WRV	1×	0.05%
WVY	1×	0.05%
HGC	1×	0.05%
GTH	1×	0.05%
KWP	1×	0.05%
NCW	1×	0.05%
FYU	1×	0.05%
FKE	1×	0.05%
NXY	1×	0.05%
WKC	1×	0.05%
UWO	1×	0.05%
OHN	1×	0.05%
VCC	1×	0.05%
FBC	1×	0.05%
LXA	1×	0.05%
NWC	1×	0.05%
EGF	1×	0.05%
AAX	1×	0.05%
JNW	1×	0.05%
BWL	1×	0.05%
FYL	1×	0.05%
KEN	1×	0.05%
CBF	1×	0.05%
ENL	1×	0.05%
LNG	1×	0.05%
NUF	1×	0.05%
RFJ	1×	0.05%
JAC	1×	0.05%
LHL	1×	0.05%
WLK	1×	0.05%
ELC	1×	0.05%
FGN	1×	0.05%
YVR	1×	0.05%
AHE	1×	0.05%
PWK	1×	0.05%
JWQ	1×	0.05%
QJB	1×	0.05%
NLY	1×	0.05%
NLW	1×	0.05%
ZJX	1×	0.05%
OCX	1×	0.05%
HJB	1×	0.05%
CQN	1×	0.05%
CFA	1×	0.05%
HKX	1×	0.05%
GWF	1×	0.05%
JEF	1×	0.05%
NWB	1×	0.05%
COK	1×	0.05%
KNV	1×	0.05%
VJW	1×	0.05%
LLW	1×	0.05%
NKB	1×	0.05%
KYX	1×	0.05%
BFP	1×	0.05%
PFN	1×	0.05%
VWF	1×	0.05%
CQZ	1×	0.05%
YWL	1×	0.05%
RLC	1×	0.05%
VFO	1×	0.05%
UFN	1×	0.05%
WBH	1×	0.05%
VAK	1×	0.05%
VXJ	1×	0.05%
VRO	1×	0.05%
VNB	1×	0.05%
KNU	1×	0.05%
YJN	1×	0.05%
YKW	1×	0.05%
RCQ	1×	0.05%
JZF	1×	0.05%
ONC	1×	0.05%
GLC	1×	0.05%
JYB	1×	0.05%
WQN	1×	0.05%
CZZ	1×	0.05%
XVH	1×	0.05%
EOH	1×	0.05%
BEX	1×	0.05%
RAH	1×	0.05%
JYF	1×	0.05%
KFN	1×	0.05%
YFB	1×	0.05%
HCL	1×	0.05%
WQB	1×	0.05%
YHG	1×	0.05%
LFP	1×	0.05%
XZH	1×	0.05%
XUW	1×	0.05%
PXZ	1×	0.05%
JPK	1×	0.05%
FNJ	1×	0.05%
VRF	1×	0.05%
BLW	1×	0.05%
FEF	1×	0.05%
JPE	1×	0.05%
JAX	1×	0.05%
XHG	1×	0.05%
LFY	1×	0.05%
FGC	1×	0.05%
RWN	1×	0.05%
WEO	1×	0.05%
AFC	1×	0.05%
AWA	1×	0.05%
FGL	1×	0.05%
LEF	1×	0.05%
CXL	1×	0.05%
WBF	1×	0.05%
NVW	1×	0.05%
ANF	1×	0.05%
VGW	1×	0.05%
SWL	1×	0.05%
KJK	1×	0.05%
ZBX	1×	0.05%
KVF	1×	0.05%
KPW	1×	0.05%
XGK	1×	0.05%
OXC	1×	0.05%
OVW	1×	0.05%
PVR	1×	0.05%
ZFO	1×	0.05%
NCF	1×	0.05%
EEF	1×	0.05%
VLC	1×	0.05%
FOW	1×	0.05%
CWZ	1×	0.05%
HFA	1×	0.05%
FJU	1×	0.05%
WAH	1×	0.05%
PLN	1×	0.05%
ELW	1×	0.05%
VUW	1×	0.05%
HNC	1×	0.05%
WRL	1×	0.05%
JCY	1×	0.05%
XVV	1×	0.05%
XQW	1×	0.05%
AXK	1×	0.05%
EFN	1×	0.05%
XJB	1×	0.05%
CGV	1×	0.05%
FRE	1×	0.05%
AXA	1×	0.05%
FLZ	1×	0.05%
QJJ	1×	0.05%
NKX	1×	0.05%
YPW	1×	0.05%
KAC	1×	0.05%
NAA	1×	0.05%
VWW	1×	0.05%
JPC	1×	0.05%
FVX	1×	0.05%
YHF	1×	0.05%
CQF	1×	0.05%
KYL	1×	0.05%
JPP	1×	0.05%
JVF	1×	0.05%
UNU	1×	0.05%
YFR	1×	0.05%
LSN	1×	0.05%
EXX	1×	0.05%
LHK	1×	0.05%
CCV	1×	0.05%
WZF	1×	0.05%
KYN	1×	0.05%
VVZ	1×	0.05%
ICB	1×	0.05%
WJW	1×	0.05%
ZPK	1×	0.05%
FYH	1×	0.05%
RLW	1×	0.05%
HKL	1×	0.05%
EXC	1×	0.05%
EFE	1×	0.05%
VFK	1×	0.05%
KWN	1×	0.05%
WKF	1×	0.05%
GWL	1×	0.05%
GHK	1×	0.05%
YOK	1×	0.05%
NYP	1×	0.05%
CXF	1×	0.05%
JPN	1×	0.05%
XLL	1×	0.05%
FAK	1×	0.05%
LHW	1×	0.05%
NKG	1×	0.05%
KWR	1×	0.05%
FDW	1×	0.05%
LPK	1×	0.05%
YWK	1×	0.05%
PWO	1×	0.05%
FLS	1×	0.05%
FWE	1×	0.05%
JHJ	1×	0.05%
PXF	1×	0.05%
EXL	1×	0.05%
KCR	1×	0.05%
XCW	1×	0.05%
WLB	1×	0.05%
WOW	1×	0.05%
GWV	1×	0.05%
NSW	1×	0.05%
VXP	1×	0.05%
LLV	1×	0.05%
NCY	1×	0.05%
AFG	1×	0.05%
PWN	1×	0.05%
CVN	1×	0.05%
VRL	1×	0.05%
HOE	1×	0.05%
ZWO	1×	0.05%
FON	1×	0.05%
CKF	1×	0.05%
XBZ	1×	0.05%
KWE	1×	0.05%
NJZ	1×	0.05%
QNY	1×	0.05%
XQL	1×	0.05%
COR	1×	0.05%
HCB	1×	0.05%
FKS	1×	0.05%
WVF	1×	0.05%
FVA	1×	0.05%
BHK	1×	0.05%
JYE	1×	0.05%
CYH	1×	0.05%
WPV	1×	0.05%
WVW	1×	0.05%
OKW	1×	0.05%
KGN	1×	0.05%
VXL	1×	0.05%
WLZ	1×	0.05%
FVW	1×	0.05%
JFV	1×	0.05%
FJZ	1×	0.05%
KLG	1×	0.05%
KXO	1×	0.05%
OXK	1×	0.05%
LOW	1×	0.05%
CCW	1×	0.05%
WJX	1×	0.05%
CFL	1×	0.05%
REF	1×	0.05%
SWC	1×	0.05%
ZWU	1×	0.05%
JDN	1×	0.05%
PNA	1×	0.05%
YXQ	1×	0.05%
LSF	1×	0.05%
XJP	1×	0.05%
CZA	1×	0.05%
XFL	1×	0.05%
DWF	1×	0.05%
ORO	1×	0.05%
EWP	1×	0.05%
RGC	1×	0.05%
CZK	1×	0.05%
ZLN	1×	0.05%
EXU	1×	0.05%
WQL	1×	0.05%
EFC	1×	0.05%
WCN	1×	0.05%
EWC	1×	0.05%
JFN	1×	0.05%
CXQ	1×	0.05%
ZKW	1×	0.05%
WAW	1×	0.05%
CAN	1×	0.05%
BNK	1×	0.05%
HCC	1×	0.05%
WAL	1×	0.05%
XEN	1×	0.05%
LWY	1×	0.05%
XVE	1×	0.05%
XIN	1×	0.05%
GGK	1×	0.05%
VEW	1×	0.05%
AGW	1×	0.05%
CWE	1×	0.05%
FKR	1×	0.05%
WFA	1×	0.05%
YOA	1×	0.05%
BEW	1×	0.05%
XYF	1×	0.05%
PBK	1×	0.05%
ZER	1×	0.05%
FWF	1×	0.05%
PYR	1×	0.05%
JFL	1×	0.05%
CRN	1×	0.05%
JAZ	1×	0.05%
YQN	1×	0.05%
JLC	1×	0.05%
KXM	1×	0.05%
FJQ	1×	0.05%
FKQ	1×	0.05%
XFJ	1×	0.05%
YGW	1×	0.05%
WUF	1×	0.05%
HLA	1×	0.05%
LOH	1×	0.05%
WXJ	1×	0.05%
LWU	1×	0.05%
KXU	1×	0.05%
BVF	1×	0.05%
BNA	1×	0.05%
PRG	1×	0.05%
VRX	1×	0.05%
FCY	1×	0.05%
NFK	1×	0.05%
YLF	1×	0.05%
XRC	1×	0.05%
EFR	1×	0.05%
GFJ	1×	0.05%
PQZ	1×	0.05%
NVF	1×	0.05%
WLH	1×	0.05%
KUN	1×	0.05%
NGX	1×	0.05%
FLE	1×	0.05%
XKE	1×	0.05%
JCQ	1×	0.05%
ZNP	1×	0.05%
ZVR	1×	0.05%
LCB	1×	0.05%
VVF	1×	0.05%
KHL	1×	0.05%
GFC	1×	0.05%
JQZ	1×	0.05%
GWY	1×	0.05%
VVL	1×	0.05%
XVN	1×	0.05%
ENC	1×	0.05%
WYK	1×	0.05%
XSJ	1×	0.05%
VXQ	1×	0.05%
BXV	1×	0.05%
JPV	1×	0.05%
YWA	1×	0.05%
WLL	1×	0.05%
VBX	1×	0.05%
WPH	1×	0.05%
LWA	1×	0.05%
LEW	1×	0.05%
KWV	1×	0.05%
RLH	1×	0.05%
CBN	1×	0.05%
PZF	1×	0.05%
GHV	1×	0.05%
VFG	1×	0.05%
VXH	1×	0.05%
GGV	1×	0.05%
XXY	1×	0.05%
FPK	1×	0.05%
NAH	1×	0.05%
VCH	1×	0.05%
LYW	1×	0.05%
WFF	1×	0.05%
ACZ	1×	0.05%
JYP	1×	0.05%
JPO	1×	0.05%
HCO	1×	0.05%
ZCX	1×	0.05%
PWJ	1×	0.05%
VRG	1×	0.05%
YLO	1×	0.05%
PLA	1×	0.05%
YXK	1×	0.05%
HFV	1×	0.05%
OWN	1×	0.05%
YPX	1×	0.05%
ANW	1×	0.05%
JWW	1×	0.05%
LXQ	1×	0.05%
JXU	1×	0.05%
BNE	1×	0.05%
AWN	1×	0.05%
JXF	1×	0.05%
KXJ	1×	0.05%
XJX	1×	0.05%
YNL	1×	0.05%
WKO	1×	0.05%
KXS	1×	0.05%
WJP	1×	0.05%
UWV	1×	0.05%
XGE	1×	0.05%
WLT	1×	0.05%
ZPX	1×	0.05%
YAZ	1×	0.05%
NVN	1×	0.05%
XKJ	1×	0.05%
JXA	1×	0.05%
VWZ	1×	0.05%
ZFU	1×	0.05%
RWC	1×	0.05%
LXP	1×	0.05%
AXC	1×	0.05%
VNW	1×	0.05%
LCA	1×	0.05%
AFY	1×	0.05%
VKW	1×	0.05%
FKL	1×	0.05%
FAX	1×	0.05%
EQZ	1×	0.05%
RQW	1×	0.05%
FUW	1×	0.05%
OAC	1×	0.05%
UWZ	1×	0.05%
KJG	1×	0.05%
CSJ	1×	0.05%
LWC	1×	0.05%
CVW	1×	0.05%
LXE	1×	0.05%
KOR	1×	0.05%
BLX	1×	0.05%
KFO	1×	0.05%
VRV	1×	0.05%
EEH	1×	0.05%
JNC	1×	0.05%
ORF	1×	0.05%
CCQ	1×	0.05%
YBN	1×	0.05%
WKH	1×	0.05%
NJG	1×	0.05%
FAF	1×	0.05%
GKN	1×	0.05%
FKN	1×	0.05%
VRH	1×	0.05%
#N : 1047	Σ = 2094.0	Σ = 101.87
